Two type taplands (some are snow):
Alpine Meadow | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.) This land enters tapped.
Arctic Treeline | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped.
Contaminated Aquifer | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped.
Geothermal Bog | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped.
Glacial Floodplain | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped.
Haunted Mire | ['Swamp', 'Forest'] | ({T}: Add {B} or {G}.) This land enters tapped.
Highland Forest | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped.
Ice Tunnel | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped.
Idyllic Beachfront | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped.
Molten Tributary | ['Island', 'Mountain'] | ({T}: Add {U} or {R}.) This land enters tapped.
Radiant Grove | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped.
Rimewood Falls | ['Forest', 'Island'] | ({T}: Add {G} or {U}.) This land enters tapped.
Sacred Peaks | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.) This land enters tapped.
Snowfield Sinkhole | ['Plains', 'Swamp'] | ({T}: Add {W} or {B}.) This land enters tapped.
Sulfurous Mire | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped.
Sunlit Marsh | ['Plains', 'Swamp'] | ({T}: Add {W} or {B}.) This land enters tapped.
Tangled Islet | ['Forest', 'Island'] | ({T}: Add {G} or {U}.) This land enters tapped.
Volatile Fjord | ['Island', 'Mountain'] | ({T}: Add {U} or {R}.) This land enters tapped.
Wooded Ridgeline | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped.
Woodland Chasm | ['Swamp', 'Forest'] | ({T}: Add {B} or {G}.) This land enters tapped.

Triome:
Indatha Triome | ['Plains', 'Swamp', 'Forest'] | ({T}: Add {W}, {B}, or {G}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
