Basics:
Snow-Covered Forest | ['Forest'] | ({T}: Add {G}.)
Snow-Covered Island | ['Island'] | ({T}: Add {U}.)
Snow-Covered Mountain | ['Mountain'] | ({T}: Add {R}.)
Snow-Covered Plains | ['Plains'] | ({T}: Add {W}.)
Snow-Covered Swamp | ['Swamp'] | ({T}: Add {B}.)
Forest | ['Forest'] | ({T}: Add {G}.)
Island | ['Island'] | ({T}: Add {U}.)
Mountain | ['Mountain'] | ({T}: Add {R}.)
Plains | ['Plains'] | ({T}: Add {W}.)
Swamp | ['Swamp'] | ({T}: Add {B}.)

Check lands:
Clifftop Retreat | [] | This land enters tapped unless you control a Mountain or a Plains. {T}: Add {R} or {W}.
Dragonskull Summit | [] | This land enters tapped unless you control a Swamp or a Mountain. {T}: Add {B} or {R}.
Drowned Catacomb | [] | This land enters tapped unless you control an Island or a Swamp. {T}: Add {U} or {B}.
Glacial Fortress | [] | This land enters tapped unless you control a Plains or an Island. {T}: Add {W} or {U}.
Hinterland Harbor | [] | This land enters tapped unless you control a Forest or an Island. {T}: Add {G} or {U}.
Isolated Chapel | [] | This land enters tapped unless you control a Plains or a Swamp. {T}: Add {W} or {B}.
Rootbound Crag | [] | This land enters tapped unless you control a Mountain or a Forest. {T}: Add {R} or {G}.
Sulfur Falls | [] | This land enters tapped unless you control an Island or a Mountain. {T}: Add {U} or {R}.
Sunpetal Grove | [] | This land enters tapped unless you control a Forest or a Plains. {T}: Add {G} or {W}.
Woodland Cemetery | [] | This land enters tapped unless you control a Swamp or a Forest. {T}: Add {B} or {G}.

Reveals:
Choked Estuary | [] | As this land enters, you may reveal an Island or Swamp card from your hand. If you don't, this land enters tapped. {T}: Add {U} or {B}.
Foreboding Ruins | [] | As this land enters, you may reveal a Swamp or Mountain card from your hand. If you don't, this land enters tapped. {T}: Add {B} or {R}.
Fortified Village | [] | As this land enters, you may reveal a Forest or Plains card from your hand. If you don't, this land enters tapped. {T}: Add {G} or {W}.
Frostboil Snarl | [] | As this land enters, you may reveal an Island or Mountain card from your hand. If you don't, this land enters tapped. {T}: Add {U} or {R}.
Furycalm Snarl | [] | As this land enters, you may reveal a Mountain or Plains card from your hand. If you don't, this land enters tapped. {T}: Add {R} or {W}.
Game Trail | [] | As this land enters, you may reveal a Mountain or Forest card from your hand. If you don't, this land enters tapped. {T}: Add {R} or {G}.
Necroblossom Snarl | [] | As this land enters, you may reveal a Swamp or Forest card from your hand. If you don't, this land enters tapped. {T}: Add {B} or {G}.
Port Town | [] | As this land enters, you may reveal a Plains or Island card from your hand. If you don't, this land enters tapped. {T}: Add {W} or {U}.
Shineshadow Snarl | [] | As this land enters, you may reveal a Plains or Swamp card from your hand. If you don't, this land enters tapped. {T}: Add {W} or {B}.
Vineglimmer Snarl | [] | As this land enters, you may reveal a Forest or Island card from your hand. If you don't, this land enters tapped. {T}: Add {G} or {U}.

Filter Lands:
Cascade Bluffs | [] | {T}: Add {C}. {U/R}, {T}: Add {U}{U}, {U}{R}, or {R}{R}.
Fetid Heath | [] | {T}: Add {C}. {W/B}, {T}: Add {W}{W}, {W}{B}, or {B}{B}.
Fire-Lit Thicket | [] | {T}: Add {C}. {R/G}, {T}: Add {R}{R}, {R}{G}, or {G}{G}.
Flooded Grove | [] | {T}: Add {C}. {G/U}, {T}: Add {G}{G}, {G}{U}, or {U}{U}.
Graven Cairns | [] | {T}: Add {C}. {B/R}, {T}: Add {B}{B}, {B}{R}, or {R}{R}.
Mystic Gate | [] | {T}: Add {C}. {W/U}, {T}: Add {W}{W}, {W}{U}, or {U}{U}.
Rugged Prairie | [] | {T}: Add {C}. {R/W}, {T}: Add {R}{R}, {R}{W}, or {W}{W}.
Sunken Ruins | [] | {T}: Add {C}. {U/B}, {T}: Add {U}{U}, {U}{B}, or {B}{B}.
Twilight Mire | [] | {T}: Add {C}. {B/G}, {T}: Add {B}{B}, {B}{G}, or {G}{G}.
Wooded Bastion | [] | {T}: Add {C}. {G/W}, {T}: Add {G}{G}, {G}{W}, or {W}{W}.

Bond lands:
Sea of Clouds | [] | This land enters tapped unless you have two or more opponents. {T}: Add {W} or {U}.
Bountiful Promenade | [] | This land enters tapped unless you have two or more opponents. {T}: Add {G} or {W}.
Luxury Suite | [] | This land enters tapped unless you have two or more opponents. {T}: Add {B} or {R}.
Morphic Pool | [] | This land enters tapped unless you have two or more opponents. {T}: Add {U} or {B}.
Rejuvenating Springs | [] | This land enters tapped unless you have two or more opponents. {T}: Add {G} or {U}.
Spectator Seating | [] | This land enters tapped unless you have two or more opponents. {T}: Add {R} or {W}.
Spire Garden | [] | This land enters tapped unless you have two or more opponents. {T}: Add {R} or {G}.
Training Center | [] | This land enters tapped unless you have two or more opponents. {T}: Add {U} or {R}.
Undergrowth Stadium | [] | This land enters tapped unless you have two or more opponents. {T}: Add {B} or {G}.
Vault of Champions | [] | This land enters tapped unless you have two or more opponents. {T}: Add {W} or {B}.

Shock lands:
Blood Crypt | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Breeding Pool | ['Forest', 'Island'] | ({T}: Add {G} or {U}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Godless Shrine | ['Plains', 'Swamp'] | ({T}: Add {W} or {B}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Hallowed Fountain | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Overgrown Tomb | ['Swamp', 'Forest'] | ({T}: Add {B} or {G}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Sacred Foundry | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Steam Vents | ['Island', 'Mountain'] | ({T}: Add {U} or {R}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Stomping Ground | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Temple Garden | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Watery Grave | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.

Dual Face lands:
Barkchannel Pathway // Tidechannel Pathway | set() | {T}: Add {G}. // {T}: Add {U}.
Blightstep Pathway // Searstep Pathway | set() | {T}: Add {B}. // {T}: Add {R}.
Branchloft Pathway // Boulderloft Pathway | set() | {T}: Add {G}. // {T}: Add {W}.
Brightclimb Pathway // Grimclimb Pathway | set() | {T}: Add {W}. // {T}: Add {B}.
Clearwater Pathway // Murkwater Pathway | set() | {T}: Add {U}. // {T}: Add {B}.
Cragcrown Pathway // Timbercrown Pathway | set() | {T}: Add {R}. // {T}: Add {G}.
Darkbore Pathway // Slitherbore Pathway | set() | {T}: Add {B}. // {T}: Add {G}.
Hengegate Pathway // Mistgate Pathway | set() | {T}: Add {W}. // {T}: Add {U}.
Needleverge Pathway // Pillarverge Pathway | set() | {T}: Add {R}. // {T}: Add {W}.
Riverglide Pathway // Lavaglide Pathway | set() | {T}: Add {U}. // {T}: Add {R}.

OG Duals:
Badlands | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.)
Bayou | ['Swamp', 'Forest'] | ({T}: Add {B} or {G}.)
Plateau | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.)
Savannah | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.)
Scrubland | ['Plains', 'Swamp'] | ({T}: Add {W} or {B}.)
Taiga | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.)
Tropical Island | ['Forest', 'Island'] | ({T}: Add {G} or {U}.)
Tundra | ['Plains', 'Island'] | ({T}: Add {W} or {U}.)
Underground Sea | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.)
Volcanic Island | ['Island', 'Mountain'] | ({T}: Add {U} or {R}.)

Activate Restriction Duals:
Blazemire Verge | [] | {T}: Add {B}. {T}: Add {R}. Activate only if you control a Swamp or a Mountain.
Bleachbone Verge | [] | {T}: Add {B}. {T}: Add {W}. Activate only if you control a Plains or a Swamp.
Floodfarm Verge | [] | {T}: Add {W}. {T}: Add {U}. Activate only if you control a Plains or an Island.
Gloomlake Verge | [] | {T}: Add {U}. {T}: Add {B}. Activate only if you control an Island or a Swamp.
Hushwood Verge | [] | {T}: Add {G}. {T}: Add {W}. Activate only if you control a Forest or a Plains.
Riverpyre Verge | [] | {T}: Add {R}. {T}: Add {U}. Activate only if you control an Island or a Mountain.
Sunbillow Verge | [] | {T}: Add {W}. {T}: Add {R}. Activate only if you control a Mountain or a Plains.
Thornspire Verge | [] | {T}: Add {R}. {T}: Add {G}. Activate only if you control a Mountain or a Forest.
Wastewood Verge | [] | {T}: Add {G}. {T}: Add {B}. Activate only if you control a Swamp or a Forest.
Willowrush Verge | [] | {T}: Add {U}. {T}: Add {G}. Activate only if you control a Forest or an Island.

PainDraws:
Fiery Islet | [] | {T}, Pay 1 life: Add {U} or {R}. {1}, {T}, Sacrifice this land: Draw a card.
Horizon Canopy | [] | {T}, Pay 1 life: Add {G} or {W}. {1}, {T}, Sacrifice this land: Draw a card.
Nurturing Peatland | [] | {T}, Pay 1 life: Add {B} or {G}. {1}, {T}, Sacrifice this land: Draw a card.
Silent Clearing | [] | {T}, Pay 1 life: Add {W} or {B}. {1}, {T}, Sacrifice this land: Draw a card.
Sunbaked Canyon | [] | {T}, Pay 1 life: Add {R} or {W}. {1}, {T}, Sacrifice this land: Draw a card.
Waterlogged Grove | [] | {T}, Pay 1 life: Add {G} or {U}. {1}, {T}, Sacrifice this land: Draw a card.

OG filters:
Sungrass Prairie | [] | {1}, {T}: Add {G}{W}.
Darkwater Catacombs | [] | {1}, {T}: Add {U}{B}.
Desolate Mire | [] | {1}, {T}: Add {W}{B}.
Ferrous Lake | [] | {1}, {T}: Add {U}{R}.
Mossfire Valley | [] | {1}, {T}: Add {R}{G}.
Overflowing Basin | [] | {1}, {T}: Add {G}{U}.
Shadowblood Ridge | [] | {1}, {T}: Add {B}{R}.
Skycloud Expanse | [] | {1}, {T}: Add {W}{U}.
Sunscorched Divide | [] | {1}, {T}: Add {R}{W}.
Viridescent Bog | [] | {1}, {T}: Add {B}{G}.

Tainted lands:
Tainted Field | [] | {T}: Add {C}. {T}: Add {W} or {B}. Activate only if you control a Swamp.
Tainted Isle | [] | {T}: Add {C}. {T}: Add {U} or {B}. Activate only if you control a Swamp.
Tainted Peak | [] | {T}: Add {C}. {T}: Add {B} or {R}. Activate only if you control a Swamp.
Tainted Wood | [] | {T}: Add {C}. {T}: Add {B} or {G}. Activate only if you control a Swamp.

Tango lands:
Canopy Vista | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped unless you control two or more basic lands.
Cinder Glade | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped unless you control two or more basic lands.
Prairie Stream | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped unless you control two or more basic lands.
Smoldering Marsh | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped unless you control two or more basic lands.
Sunken Hollow | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped unless you control two or more basic lands.

Two-or-fewer lands:
Blackcleave Cliffs | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {B} or {R}.
Blooming Marsh | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {B} or {G}.
Botanical Sanctum | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {G} or {U}.
Concealed Courtyard | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {W} or {B}.
Copperline Gorge | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {R} or {G}.
Darkslick Shores | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {U} or {B}.
Inspiring Vantage | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {R} or {W}.
Razorverge Thicket | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {G} or {W}.
Seachrome Coast | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {W} or {U}.
Spirebluff Canal | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {U} or {R}.

Two-or-more lands:
Deathcap Glade | [] | This land enters tapped unless you control two or more other lands. {T}: Add {B} or {G}.
Deserted Beach | [] | This land enters tapped unless you control two or more other lands. {T}: Add {W} or {U}.
Dreamroot Cascade | [] | This land enters tapped unless you control two or more other lands. {T}: Add {G} or {U}.
Haunted Ridge | [] | This land enters tapped unless you control two or more other lands. {T}: Add {B} or {R}.
Overgrown Farmland | [] | This land enters tapped unless you control two or more other lands. {T}: Add {G} or {W}.
Rockfall Vale | [] | This land enters tapped unless you control two or more other lands. {T}: Add {R} or {G}.
Shattered Sanctum | [] | This land enters tapped unless you control two or more other lands. {T}: Add {W} or {B}.
Shipwreck Marsh | [] | This land enters tapped unless you control two or more other lands. {T}: Add {U} or {B}.
Stormcarved Coast | [] | This land enters tapped unless you control two or more other lands. {T}: Add {U} or {R}.
Sundown Pass | [] | This land enters tapped unless you control two or more other lands. {T}: Add {R} or {W}.

Pain lands:
Adarkar Wastes | [] | {T}: Add {C}. {T}: Add {W} or {U}. This land deals 1 damage to you.
Battlefield Forge | [] | {T}: Add {C}. {T}: Add {R} or {W}. This land deals 1 damage to you.
Brushland | [] | {T}: Add {C}. {T}: Add {G} or {W}. This land deals 1 damage to you.
Caves of Koilos | [] | {T}: Add {C}. {T}: Add {W} or {B}. This land deals 1 damage to you.
Karplusan Forest | [] | {T}: Add {C}. {T}: Add {R} or {G}. This land deals 1 damage to you.
Llanowar Wastes | [] | {T}: Add {C}. {T}: Add {B} or {G}. This land deals 1 damage to you.
Shivan Reef | [] | {T}: Add {C}. {T}: Add {U} or {R}. This land deals 1 damage to you.
Sulfurous Springs | [] | {T}: Add {C}. {T}: Add {B} or {R}. This land deals 1 damage to you.
Underground River | [] | {T}: Add {C}. {T}: Add {U} or {B}. This land deals 1 damage to you.
Yavimaya Coast | [] | {T}: Add {C}. {T}: Add {G} or {U}. This land deals 1 damage to you.

Unlucky Lands:
Abandoned Campground | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {W} or {U}.
Bleeding Woods | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {R} or {G}.
Etched Cornfield | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {G} or {W}.
Lakeside Shack | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {G} or {U}.
Murky Sewer | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {U} or {B}.
Neglected Manor | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {W} or {B}.
Peculiar Lighthouse | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {U} or {R}.
Raucous Carnival | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {R} or {W}.
Razortrap Gorge | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {B} or {R}.
Strangled Cemetery | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {B} or {G}.

Exert lands:
Cinder Marsh | [] | {T}: Add {C}. {T}: Add {B} or {R}. This land doesn't untap during your next untap step.
Cloudcrest Lake | [] | {T}: Add {C}. {T}: Add {W} or {U}. This land doesn't untap during your next untap step.
Lantern-Lit Graveyard | [] | {T}: Add {C}. {T}: Add {B} or {R}. This land doesn't untap during your next untap step.
Mogg Hollows | [] | {T}: Add {C}. {T}: Add {R} or {G}. This land doesn't untap during your next untap step.
Pinecrest Ridge | [] | {T}: Add {C}. {T}: Add {R} or {G}. This land doesn't untap during your next untap step.
Rootwater Depths | [] | {T}: Add {C}. {T}: Add {U} or {B}. This land doesn't untap during your next untap step.
