Artifact Lands:
Ancient Den | [] | {T}: Add {W}.
Great Furnace | [] | {T}: Add {R}.
Seat of the Synod | [] | {T}: Add {U}.
Tree of Tales | [] | {T}: Add {G}.
Vault of Whispers | [] | {T}: Add {B}.

Grouping: Bad pains
Barbarian Ring | [] | {T}: Add {R}. This land deals 1 damage to you. Threshold — {R}, {T}, Sacrifice this land: It deals 2 damage to any target. Activate only if seven or more cards are in your graveyard.
Cabal Pit | [] | {T}: Add {B}. This land deals 1 damage to you. Threshold — {B}, {T}, Sacrifice this land: Target creature gets -2/-2 until end of turn. Activate only if seven or more cards are in your graveyard.
Centaur Garden | [] | {T}: Add {G}. This land deals 1 damage to you. Threshold — {G}, {T}, Sacrifice this land: Target creature gets +3/+3 until end of turn. Activate only if seven or more cards are in your graveyard.
Cephalid Coliseum | [] | {T}: Add {U}. This land deals 1 damage to you. Threshold — {U}, {T}, Sacrifice this land: Target player draws three cards, then discards three cards. Activate only if seven or more cards are in your graveyard.
Nomad Stadium | [] | {T}: Add {W}. This land deals 1 damage to you. Threshold — {W}, {T}, Sacrifice this land: You gain 4 life. Activate only if seven or more cards are in your graveyard.

GROUPING: Monocolor taplands
Dwarven Mine | ['Mountain'] | ({T}: Add {R}.) This land enters tapped unless you control three or more other Mountains. When this land enters untapped, create a 1/1 red Dwarf creature token.
Gingerbread Cabin | ['Forest'] | ({T}: Add {G}.) This land enters tapped unless you control three or more other Forests. When this land enters untapped, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
Idyllic Grange | ['Plains'] | ({T}: Add {W}.) This land enters tapped unless you control three or more other Plains. When this land enters untapped, put a +1/+1 counter on target creature you control.
Mystic Sanctuary | ['Island'] | ({T}: Add {U}.) This land enters tapped unless you control three or more other Islands. When this land enters untapped, you may put target instant or sorcery card from your graveyard on top of your library.
Witch's Cottage | ['Swamp'] | ({T}: Add {B}.) This land enters tapped unless you control three or more other Swamps. When this land enters untapped, you may put target creature card from your graveyard on top of your library.
Castle Ardenvale | [] | This land enters tapped unless you control a Plains. {T}: Add {W}. {2}{W}{W}, {T}: Create a 1/1 white Human creature token.
Castle Embereth | [] | This land enters tapped unless you control a Mountain. {T}: Add {R}. {1}{R}{R}, {T}: Creatures you control get +1/+0 until end of turn.
Castle Locthwain | [] | This land enters tapped unless you control a Swamp. {T}: Add {B}. {1}{B}{B}, {T}: Draw a card, then you lose life equal to the number of cards in your hand.
Castle Vantress | [] | This land enters tapped unless you control an Island. {T}: Add {U}. {2}{U}{U}, {T}: Scry 2.
Archway of Innovation | [] | This land enters tapped unless you control an Island. {T}: Add {U}. {U}, {T}: The next spell you cast this turn has improvise. (Your artifacts can help cast that spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Arena of Glory | [] | This land enters tapped unless you control a Mountain. {T}: Add {R}. {R}, {T}, Exert this land: Add {R}{R}. If that mana is spent on a creature spell, it gains haste until end of turn. (An exerted permanent won't untap during your next untap step.)
Monumental Henge | [] | This land enters tapped unless you control a Plains. {T}: Add {W}. {2}{W}{W}, {T}: Look at the top five cards of your library. You may reveal a historic card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. (Artifacts, legendaries, and Sagas are historic.)
Shifting Woodland | [] | This land enters tapped unless you control a Forest. {T}: Add {G}. Delirium — {2}{G}{G}: This land becomes a copy of target permanent card in your graveyard until end of turn. Activate only if there are four or more card types among cards in your graveyard.
Spymaster's Vault | [] | This land enters tapped unless you control a Swamp. {T}: Add {B}. {B}, {T}: Target creature you control connives X, where X is the number of creatures that died this turn. (Draw X cards, then discard X cards. Put a +1/+1 counter on that creature for each nonland card discarded this way.)
